,documentid,paymentid,amount,date,vendor_names,vendor_address
0,00d0624439175,00p0535380313,72.9,0,MRDIYKUCHZAISDNBHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR"
1,00d0654270874,00p0432205035,43.9,16959,FOURQUARTERSSDNBHD,NO.28G JLN SS21/35 DAMANSARA UTAMA PETALING JAYA 47400 SELANGOR
2,00d0403711886,00p0174820163,32.23,17805,SYARIKATPERNIAGAANGIJKEE,"NO 290, JALAN AIR PANAS, SETAPAK, 53020, KUALA LUMPUR."
3,00d0956164753,00p0943784617,503.1,17613,TIMELESSKITCHENETESDNBHD,"LLT 50, FLOOR T2,SKY AVENUE GENTING HIGHLANDS PAHA NG, 690000 PAHANG MALAYSIA"
4,00d0667839698,00p0762437501,1110.0,16859,SINTHEYCOMPANY,"NO.54, BATU 5,JALAN IPOH, KG.BATU, 5110 KUALA LUMPUR"
5,00d0841246769,00p0690993010,7.7,17624,UNIHAKKAINTWERNATIONALSDNHBD,"12, JALN YAMPOI 7/4,KAWASAN PERINDUSTRIAN TANPOI,81200 JOHOR BHARU,JOHOR"
6,00d0414196980,00p0470919234,2.3,17604,ERSTORANWANSHENG,"NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR"
7,00d0726523245,00p0442551242,23.0,17648,MRDIYMSNBHD,"LOT 1851-A & 1851-B, JAL AN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR"
8,00d0320587587,00p0481647612,28.8,17919,SHHMOTORSUNGAIRENGITSDNBHD,"NO. 443, JALAN KURAU, SUNGAI RENGIT, 81620 PENGERAN, JOHOR."
9,00d0333208815,00p0637007543,8.2,17637,UNIHAKKAINTERNATIONALSDNBHD,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR"
10,00d0330533884,00p0365532287,50.6,17397,GARDENIABAKERIESKPLSDNBHD,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALWM,SELNAGOR."
11,00d0694627982,00p0501636084,101.75,17612,KHEELECTRICALTRADJNG,"33-G JALAN MAJU 3/1 TAMAN IEMBAH MAJU CHERAS, 56100 KL"
12,00d0408017404,00p0214917278,15.0,17332,AIKHUATHARDWAREENTERPRISESETIAALAMSDNBHD,"NO. 17-G, JALAN SETIA INDAH (X) U13/X, SET1A ALAM, SEKYSE N U13, 40170 SHAH ALAM,"
13,00d0447521528,00p0751195172,3.2,17686,MRDIYMSDNBHD,"LOT 1851-A& 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 4300 SERI KEMBANGAN, SELANGOR"
14,00d0194076657,00p0262820541,61.65,0,SPEEDMATRSB,"LOI P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1320-TMN BATU"
15,00d0546591203,00p0593910902,2148.4,17528,SYARIKATPERNIAGAANGIKEE,"NO 290, JALAN AIR PANAS. SETAPAK, 5320, KUALA LUMPUR"
16,00d0116292534,00p0895990239,13.78,17354,GUARDIANHEALTHANDBEAUTYSDNBHD,"LOFT B-005-006, BASEMENT LEVEL 1 THE STARLING MALL JALAN SS21/60, DAMANSARA TUAMA."
17,00d0796308197,00p0407771995,28.0,17608,PASARMINIJINSEBNG,"3 79, JALAN PERMAS SATU, BANDAR BARUPERMAS JAYA 81750 PLENTOONG, JOHOR."
18,00d0992127574,00p0517597215,15.4,17443,RATRANGESTATIONERSPRINTSDMBHD,44 JALAN SS21/58 DAMANSARA UTAMA 47400 PETALING JAYA
19,00d0961798581,00p0463809068,20.0,17649,CHECKERSHYPERMARKEYSDNBHDJALANKLANGLAMA,"LOT 2942& 2945, JLN SERI SENTOSA 8, SERI SENTOSA, OFF JLN KLANG LAMA, 58000 KUALA LUMPUR."
20,00d0267909555,00p0882374522,42.5,17868,AFONCOMBHD,"3RD FKR, AEON TAMAN  MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR"
21,00d0973462000,00p0144991713,33.5,17177,SANYUSTATIONERYSHOP,"NO. 31G&33G, JLAAN SETIA INDAH X ,U13/X 4017 0 SETIA ALAM"
22,00d0280864237,00p0684214864,174.9,17621,KEDAIPAPANYEWCHUAN,"LOT 276 JLAN BANTINNG 43800 DENGKIL, SELANGOR."
23,00d0697219524,00p0587545672,21.0,17614,GOLDENKEYMAKER,"NO 5, JALAN KENARI 2, BANDARPUCHONG JAYA, 47100 PUCHONG, SELANGOR"
24,00d0145695018,00p0718364066,31.88,17233,GARDENIABAKERIESKLSDNBHD,"LOT 3, JAALN PELAVUR 23/1, 40300 SHAH ALAM, SELANGOR."
25,00d0330285744,00p0631203393,9.9,17528,MRDKKIYSDNBHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKON G, 43300 SERUI KEMBANGAN, SELANGOR"
26,00d0477960526,00p0705646963,738.8,17560,KAISONFURNISHINGSDNBHD,"L4-17 (B), LEVEL 4, UP2-o1, MELAWATI MALL, 355, JALAN BANDAR MELAWATI, LUSAT BANDAR MELAWATI, 53100KUALA LUMPUR."
27,00d0955195431,00p0302498197,3.21,17425,GARDENIABAKERIESKLSDNBHD,"LOT 3, JALAN PEABUR 23/1, 40300 SHAHALAM, SELANGOR."
28,00d0167381962,00p0715847540,5.9,17612,EONCOMBHD,"3 FLOOR, AENO TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUNMPUR"
29,00d0614628355,00p0431283627,6.7,17611,RESTORANWANSHENG,"NO.2, JALAN TEMENGUNG 19/9, SEKSYEN 9, BANXDAR MAHKOTA CHERSA, 43200 CHERAS, SELANGOR"
30,00d0761346037,00p0970401441,78.7,17319,YONGSOONFATTSB,"LOT 1504, BATU 8 1/2, JALAN KLANG LAMA, 46000 PETALING JAYA, SELANGOR."
31,00d0502129574,00p0167188091,48.35,17643,AEONCOMBHD,"3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAA, 55100 KUALA LUMPUR"
32,00d0686078737,00p0323939555,6.0,17614,BHPFTROLPALEKBANG,"LOT 1626, MUKIM KAMPUNG LAUT TUMPAT 06200 PALEKBANG, KELANTAN"
33,00d0674212079,00p0529478577,35.0,17365,SANYUSTATUIONERYSHOP,"NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM"
34,00d0989196649,00p0523451307,2.12,17563,SYARIKATPERNIAGAANGINKEE,"NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR."
35,00d0797361085,00p0576411363,31.32,17176,GARDENIABAKERIESKLSDNBHD,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR."
36,00d0592118004,00p0633720400,9.5,17617,ANZELADVERTISINGMSDNBHD,"UNIT G-5B, GROUND FLOOR, WISMA UOA II, NO 21, JALAN PINANG, 50450 KUALA LUMPUR, MALAYSIA"
37,00d0130065999,00p0329094365,0.0,17686,HASHAPETROKIOSK,LOT PTD 198718 TMN SIERRA P 81750 MASAI JOHOR
38,00d0781074499,00p0886705882,18.8,17637,FFAMILYMART,"NO 16A, JALANASTAKA U8/83, BUKIT JELUTONG. 40150 SHA H ALAM, SELANGGOR, D.E."
39,00d0682329345,00p0351654459,182.0,17492,SPEEDMARTSB,"LOT P.T. 281, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1214-JINJANG UTARA"
40,00d0523654121,00p0743746912,3.7,17592,SPEDAMRTSB,"LOT P. T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1934-LAMAN RIMBUNAN"
41,00d0458708415,00p0181103497,36.3,17403,GARDENIABAKERISEKLSDNBHD,"LOT 3,JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR."
42,00d0868680143,00p0713529193,45.0,17336,FIEVSTARCASHCARRY,"G.23 & G.22, PLAZA SERI SETIA, N.1 JALAN SS 9/1, 47300 PJ, SSELANGOR."
43,00d0270398034,00p0947317720,58.86,17468,GARDENIABAKERIESKLSDNBHD,"LOT 3, JALAN PELABUR 23/1, 40320 SHAH ALAM, SEPANGOR."
44,00d0827589883,00p0857101566,100.6,0,TONMYOLYVIVACITY,"UNIT L1-44B, VIVACITY MEGAMAL, JALAN WAN ALWI, 93350 KUCHING, SARAWAK."
45,00d0757440459,00p0390461097,75.0,17685,AEONOCMBHD,"3RD FLR, AEON TAMAN MALURI SD JLN JEJAKA,TAMAN MALURI CHERAS, 55100 KUALA LUMBUR"
46,00d0821795963,00p0364950070,11.2,17656,UNIHAKKAINTERNATIONALSDNBHD,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,8120 JOHOR BAHRU,JOHOR"
47,00d0234070159,00p0159757151,20.5,17533,MYHAPBYPHARMACYPLT,"NO 12 GF, JALAN MAMANDA 5,TAMAN DATO AHMAD RAZALI, JALAN AMPANG, 6800 AMPANG, SEALNGOR."
48,00d0355426817,00p0795255653,25.0,17634,GHEEHIANGGHCDISTRIBUTORMARKETINGSDNBHD,"95 , BEACH ROAD, 10300 PENANG. 1040 PNANG."
49,00d0529128132,00p0289935651,11.4,17673,UNIHAKKAINTERNATIONALSDNBHD,"12, JALAN TAMPOI 7/4,KAWASANN PERINDUSTRIAN TAMPOI,8120 JOHOR BAHRU,JOHOR"
50,00d0533588228,00p0909399571,88.2,17604,PASARAYABORONGPINTARSDNBHD,"NO 19-G& 19-1& 19-2 JALAN TASIK UTAMA 4, MEDAN NIAGA TASIK DAMAI"
51,00d0749666123,00p0842405134,7.0,17268,FYEAGLEENTERPRISE,"NO. 42, JALAN PBS 14/11, TAMAN PERINDUSTRIAN BUKIT SERDANG, 43300 SERI KEMBANGAN, SELANGOR"
52,00d0630325043,00p0639094736,39.75,17563,SYARIKATPERNIAGAANGINKEE,"MNO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR."
53,00d0266020596,00p0596184018,141.5,17653,SPEEDMARTSB,"LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1317 TRILLIUM S6 BESI"
54,00d0975647950,00p0767986934,2.23,17669,GUARDIANHEALTHANDBEAUTYSDNBHD,NO 15 JALAN BANDAR RAWANG 10 BANDAR BARU RAWANG
55,00d0484942812,00p0430352391,99.0,0,ASOELECTRICALTRADINGSDBNBHD,"NO 31G, JALAN SEPADU C 25/C, SECTION 25, TAMAN INDUSTRIES, AXIS  40400 SHAH ALAM, SELANGOR."
56,00d0708429922,00p0327748806,14.74,17460,GARDENIABAKERIESKLSDNBHHD,"LOT 3, JALAN PELABUR 23/1, 4030 SHAH ALAM, SELANGOR."
57,00d0543406251,00p0787809275,3.0,17508,SANYUSTATIONERYSHOP,"NO. 31G&3G, JALAM SETIA INDAH X ,U13/X 40170 SETIA ALAM"
58,00d0363399593,00p0290349052,37.1,0,MRDIYMSDNBHD,"LOT 1851-A & 1851-B, JALAN PKB 6,KAWASAN PERINDUSTRIAN BALAKONG, 43300 ZERI KEMBANGAN, SELANGOR"
59,00d0920231897,00p0316248340,65.0,17366,SANYUSTATIONERYSHOP,"MO. 31G&33G, JAOAN SEITA INDAH X ,U13/X 40170 SETIA ALAM"
60,00d0855903342,00p0127064157,2133.0,17579,SPEEDMARTSB,"LOT P. T. 2811, JALAN ANGSA, TAMAN BER KELEY 41150 KLANG,SELANGOR 1181-TMN SRI SINZR"
61,00d0196808024,00p0748973674,2.0,17293,SANYVSTTAIONERYSHOP,"NO. 31G&3G, JLAAN SETIA INDH X ,U13/X 40170 SETIA ALAM"
62,00d0212522180,00p0436073629,153.35,17867,TEDHENGSTAITONERYBOKE,"NO. 53, JALAN BESAR, 45600 BATANG BERJUNTAI SELANGOR DARUL EHSAN"
63,00d0282395578,00p0703711097,5.0,17366,SANYUSTATIONERYSHOP,"NO. 31G&33G, JAALAN SETIA INDAH X ,U13/X 40170 SETIA ALAKM"
64,00d0668346631,00p0565040471,108.5,17579,SPEEDMARTSB,"LOT P. T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 13622-JLN DEVELOPMENT"
65,00d0806991732,00p0575374416,62.6,17442,GAARDENIABAKERIESKLSDJNBHD,"LOT 3, JALAN PELABUR 24/1, 40300 SHAH ALAM, SELANGOR."
